url,title,created_at,administrator,type
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751732,[창업진흥센터-Makers Value-up] Fusion360 3D모델링 중급교육을 통한  나만의 스마트폰 거치대 제작(접수연장 ~9/3),2023-08-22,김주영,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751731,크크동( Creator Crew of Dongguk) 3기 모집,2023-08-22,이욱호,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751728,[진로지원 프로그램] 동문 특강: 90만 여행유튜버 '희철리즘'의 좋아하는 일을 하며 먹고 사는 삶에 대하여,2023-08-22,이보리,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751725,2023 중구 사회적경제마켓x일자리박람회 자원봉사자 모집,2023-08-22,정미래,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751722,(예비군연대) 2023년 후반기 학생 예비군 교육훈련 안내,2023-08-22,김태영,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751714,신진 한반도 전문가 프로그램 모집,2023-08-21,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751710,2023 보훈 취업박람회 개최 안내,2023-08-21,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751709,[동국대학교캠퍼스타운] 소셜앙트레(Social Entre)- Biz Start 추가 모집(상시),2023-08-21,유세영,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751704,2023년도 글로벌 현장체험 신청모집 안내(~8/21),2023-08-18,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751692,[경영대학 고시반] 한영회계법인(EY한영) 채용 설명회 안내,2023-08-18,김보연,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751685,2023 성동청소년문화의집 청소년멘토링사업 단짝친구 멘토 모집(2차),2023-08-18,정미래,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751681,2023 학군사관 후보생 2차 모집 안내,2023-08-18,허선이,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751679,총장님과 함께하는 2023년 가을 학위수여식 이벤트 안내,2023-08-17,송민정,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751677,"[5대 핵심역량 함양 프로그램] 청년 용접공, 펜을 들다 - '쇳밥일지' 천현우 작가 특강",2023-08-17,이보리,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751671,2023년도 하반기 서울동행 대학(원)생 봉사활동 참여학생 모집,2023-08-17,정미래,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751670,산학융합종합설계(인공지능을 활용한 콘텐츠 제작) 수강 학생 모집,2023-08-17,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751669,[취업팀] 2023 JOB & CAREER FESTIVAL '멘토링 클라쓰' 신청 안내,2023-08-17,홍태균,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751654,2023학년도 2학기 재학생 대운동장 대관 신청 안내,2023-08-14,탁상민,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751647,[참사람사회공헌센터] 2023 가을학기 사회봉사교과목 수강신청 안내(수정),2023-08-14,강다현,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751638,2023년 '신입생 인사이드 아웃' 프로그램_[학생역량개발팀],2023-08-11,신윤정,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751635,[사회복지학과] 이은영 교수님 조교 모집 (~8/18(금) 오전11시),2023-08-11,박가비,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751624,경기도 2023년도 대학생 공익활동 활성화 사업 참여 대상 모집,2023-08-11,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751611,2023학년도 2학기 일반대학원 신(편)입생 학생증 신청 안내,2023-08-10,임가영,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751604,(예비군연대) 을지연습과 연계  8월 민방공 대피훈련 및 내 주변 대피소 찾기,2023-08-09,김태영,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751600,"[창업교육센터] '누구나! 동국 캠퍼스 CEO’ 비교과 특강 모집(~8/25(금), 선착순)",2023-08-09,공효은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751599,서울시 아리수 대학생 서포터즈 모집 홍보,2023-08-09,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751593,28청춘창업소 STEP BY STEP(개방형 창업교육),2023-08-09,이혜진,일반
