course_code,course_name,professor,is_online
EGC7086-01,연기와창의적사고,김영윤,False
EGC7086-02,연기와창의적사고,진창주,False
EGC7086-03,연기와창의적사고,이종민,False
EGC7088-01,"작곡실습,소리를통한가능성",김정민,False
EGC7098-01,실전축구초급,안효연,False
EGC7099-01,실전농구초급,이호근,False
EGC7100-01,실전야구초급,김희상,False
EGC7101-01,요가&필라테스,임주미,False
EGC7101-02,요가&필라테스,임주미,False
EGC7102-01,스포츠산업의 변화와 이노베이션,이제승,False
EGC7105-01,패션그리고미술관,김희라,False
EGC7106-01,방송댄스,문연주,False
EGC7108-01,치유로서의미술,유미,False
EGC7109-01,영화속클래식음악,이정화,False
EGC9003-01,예술과경영의만남,정달영,True
GCR7001-01,세계음식의문화적이해,이심열,False
GCR7002-01,EnglishThroughDrama,스티븐쿤스,False
GCR7003-01,"일본,문학,그리고불교",김호성(法雨),False
DEC1077-01,직무이해와기업분석,오준일,False
DEV1003-01,취업실전전략,우혜인,False
DEV1003-02,취업실전전략,오준일,False
DEV1003-03,취업실전전략,심태은,False
DEV1003-04,취업실전전략,김수현,False
DEV1003-05,취업실전전략,강창호,False
DEV1032-01,대학생의 자기주도적 학습전략,하오선,False
DEV1055-01,소셜벤처,이창영,False
DEV1063-01,비즈니스실무론,김유천,False
DEV1065-01,창의적기획과문제해결,임윤서,False
DEV1065-02,창의적기획과문제해결,임윤서,False
DEV1066-01,코칭리더십,이송이,False
DEV1066-02,코칭리더십,이송이,False
DEV1067-01,자기주도학습으로가는유학생학습전략,이선영,False
DEV1067-02,자기주도학습으로가는유학생학습전략,이선영,False
DEV1067-03,자기주도학습으로가는유학생학습전략,나윤주,False
DEV1073-01,기업실무기초(인사),허훈,False
DEV1074-01,공감의리더십,임윤서,False
DEV1075-01,글로벌리더십,김유천,False
DEV1076-01,비전설정과커리어플래닝,문재영,False
DEV1076-02,비전설정과커리어플래닝,이소은,False
DEV1078-01,스타트업과진로탐색,탁은하,False
DEV1078-02,스타트업과진로탐색,이창영,False
DEV1078-03,스타트업과진로탐색,탁은하,False
DEV1078-04,스타트업과진로탐색,지효선,False
DEV1080-01,스타트업과크라우드펀딩,이세형,False
DEV1081-01,소셜벤처프로젝트,이창영,False
DEV1082-01,스타트업시뮬레이션,한규동,False
DEV1084-01,더행복해지기-행복심리학,이송이,False
DEV1084-02,더행복해지기-행복심리학,이송이,False
DEV1085-01,PresentationSkillsandPublicSpeaking,캐서린무어,False
DEV11079-01,실전창업과상권분석,이지연,False
DEV11079-02,실전창업과상권분석,이지연,False
EGC5003-01,4차 산업혁명과 드론 디자인,이석주,False
EGC5011-01,"로봇의 행복, 인간의 행복",김진선,False
EGC5013-01,마케팅 에스노그라피와 빅데이터 기반 디자인씽킹,이수현,True
EGC5018-01,색채와 과학,홍성규,False
EGC5021-01,레트로 동아시아의 건축공간과 신화,이석주,False
EGC5024-01,미래기술문명사회에서 호모루덴스들의 놀이여행,장미란,False
EGC5025-01,말은 마음이 지은 집,윤영도,False
EGC5027-01,콘텐츠 기획을 위한 스토리텔링,김세연,False
EGC5029-01,도시에서 생태적으로 살아가기,오충현,False
EGC5030-01,융합콘텐츠산업과 캐릭터,이영숙,False
EGC5033-01,데이터프로그래밍기초와실습,강지호,False
EGC5033-02,데이터프로그래밍기초와실습,백순욱,False
EGC5035-01,테마로읽는몸과세계,정윤길,False
EGC5037-01,AI시대의인간관계와감정탐구,임윤서,False
EGC5038-01,"매체를통한소통,사고를디자인하다",정윤길,False
EGC5039-01,행복인터뷰와자기서사의테크네,문경연,False
