course_id,days,start_time,end_time,classroom
89,수,16:00,18:00,401-3115(신공학관(기숙사) 3115 (T) 공용컴퓨터실)
89,금,16:00,18:00,401-3115(신공학관(기숙사) 3115 (T) 공용컴퓨터실)
90,수,18:00,21:30,401-3115(신공학관(기숙사) 3115 (T) 공용컴퓨터실)
91,화,16:00,18:00,405-318(원흥관 F318 (F) 공용컴퓨터실)
91,목,16:30,18:25,405-318(원흥관 F318 (F) 공용컴퓨터실)
92,화,18:00,21:30,405-318(원흥관 F318 (F) 공용컴퓨터실)
93,월,12:00,13:30,501-316(학림관 J315 강의실)
93,수,11:00,12:30,501-316(학림관 J315 강의실)
94,월,16:30,18:00,501-316(학림관 J315 강의실)
94,수,14:00,15:30,501-316(학림관 J315 강의실)
95,화,18:00,20:30,407-B105(정보문화관P P202 강의실)
96,수,16:00,17:30,501-316(학림관 J315 강의실)
96,금,16:00,17:30,501-316(학림관 J315 강의실)
97,목,18:00,20:30,501-142(학림관 J104 강의실)
98,목,11:00,12:00,407-B127(정보문화관P P207 강의실)
99,월,16:30,18:00,102-311(학술/문화관 K311 311 강의실)
99,수,14:00,15:30,102-311(학술/문화관 K311 311 강의실)
100,화,12:00,13:30,202-571(사회과학/경영관 L501 강의실)
100,목,12:00,13:30,202-571(사회과학/경영관 L501 강의실)
101,수,12:30,14:00,202-378(사회과학/경영관 L302 강의실)
101,금,12:00,13:30,202-378(사회과학/경영관 L302 강의실)
102,금,18:50,21:30,202-571(사회과학/경영관 L501 강의실)
103,수,14:00,17:00,1102-218(종합강의동 218 강의실)
104,화,14:00,15:30,202-387(사회과학/경영관 L305 강의실)
104,금,14:00,15:30,202-387(사회과학/경영관 L305 강의실)
105,월,12:00,13:30,207-514(혜화관 514 514 강의실)
105,수,11:00,12:30,207-514(혜화관 514 514 강의실)
106,화,12:00,13:30,102-437(학술/문화관 K437 437 강의실)
106,목,12:00,13:30,102-437(학술/문화관 K437 437 강의실)
107,화,16:00,17:30,207-512(혜화관 512 512 강의실)
107,목,16:30,18:00,207-512(혜화관 512 512 강의실)
108,수,15:00,16:30,207-112(혜화관 112 112 강의실)
108,금,11:00,12:30,207-112(혜화관 112 112 강의실)
109,화,12:00,13:30,207-512(혜화관 512 512 강의실)
109,목,12:00,13:30,207-512(혜화관 512 512 강의실)
110,화,14:00,15:30,207-604(혜화관  604 강의실)
110,금,14:00,15:30,207-604(혜화관  604 강의실)
111,월,16:00,17:30,102-456(학술/문화관 K456 456 강의실)
111,목,16:00,17:30,102-458(학술/문화관 K458 458 강의실)
117,화,12:00,13:30,207-604(혜화관  604 강의실)
117,목,12:00,13:30,207-604(혜화관  604 강의실)
119,수,12:30,14:00,207-107(혜화관 107 107 강의실)
119,금,12:00,13:30,207-107(혜화관 107 107 강의실)
121,월,16:30,18:00,207-604(혜화관  604 강의실)
